Disease_id,VN_name
220,Bệnh Moyamoya 1
221,Hội chứng Noonan 4
223,hội chứng TORCH
224,Tăng xu hướng hình liềm hồng cầu
225,Bệnh đa dây thần kinh cảm giác-vận động hỗn hợp
226,Pseudoxanthoma elasticum giống như sự đàn hồi của da nhú
227,"Bệnh thần kinh amyloid, gia đình"
228,Biến dạng bình Erlenmeyer của xương đùi
229,Viêm phổi do virus cúm
230,Tiết nhiều sữa
231,Thiếu oxy não-thiếu máu cục bộ
232,"Mang thai, ống dẫn trứng"
234,Trướng bụng
235,"Bệnh filamin, nhiễm sắc thể thường trội"
236,Bất thường của xương chi trên
237,Vệt mỡ động mạch
239,Bệnh bạch cầu lymphoblastic cấp tính ở trẻ em B với t(9;22)(q34.1;q11.2); BCR-ABL1
240,Hội chứng giảm nhu động ruột Megacystis microcolon
241,Nỗi lo lắng trôi nổi tự do
242,Động kinh giật cơ toàn thân
243,Tái tạo động mạch phổi
244,Rối loạn phát triển đường mật trong gan
245,Suy tụy mật
246,thiểu niệu
247,U ác của các bộ phận xác định khác của miệng
248,Loại sợi bẩm sinh không cân đối
249,Không có răng vĩnh viễn
250,Rụng tóc từng mảng
251,mạch máu khối u
252,Chứng dày sừng nang trứng [Darier-White]
253,Phì đại tâm thất
254,Tăng sản tuyến giáp
256,Bệnh xơ tủy gia đình
257,Ung thư biểu mô thai kỳ
258,Tăng mô liên kết
259,Sự bất thường của xương bả vai
260,Chậm phát triển tâm thần vận động do thiếu hụt S-adenosylhomocysteine hydrolase
261,"Thiếu Nadh-Cytochrome B5 Reductase, Loại I"
263,Sarcoma hoạt dịch nâng cao
264,Hội chứng đau khu vực phức tạp
266,Chứng loạn dưỡng xương sọ
267,Xương chậu dưới thiểu sản
268,Tiềm năng gợi lên thính giác bất thường
269,Bệnh bạch cầu dòng tủy mãn tính
270,Hội chứng brachydactyly tiền trục Temtamy
271,Sự kiềm hóa chuyển hóa
272,Sốt Q
274,Giảm biểu hiện bề mặt tế bào lympho của Cd43
275,Sự giãn nở của động mạch chủ ngực
276,"Bệnh cơ, Thể khử, Liên kết X, Khởi phát sớm, Nặng"
277,Vắng mặt sắc tố ở bụng ngực
279,"Hội chứng Opitz-G, loại 2"
281,Bệnh thừa vitamin D
282,Bệnh não gan
283,"Cutis laxa, lặn"
284,Giảm sản cầu não tiểu não
285,Phá hủy buồng tủy
286,bệnh vảy cá
287,"Chứng tan máu, thiếu máu"
289,Da Thiếu Độ Đàn Hồi
290,Hình thái động mạch cảnh chung bất thường
292,triệu chứng tim
293,dị tật phổi
294,Bệnh bạch cầu dòng tủy cấp tính ở trẻ em
295,Tăng mức độ Acth lưu hành
296,Viêm màng bồ đào trước cấp tính
297,Rối loạn nhịp tim thất thường
299,Ung thư hạch mô bạch huyết liên quan đến niêm mạc dạ dày
300,Dị tật bàn tay giống như chứng viêm khớp và điếc thần kinh
301,bệnh amyloidosis phổi
302,"Động kinh, Tâm thần vận động lành tính, Tuổi thơ"
303,Viêm phế quản kéo dài do vi khuẩn
304,đa niệu
305,Mức độ Adrenocorticotropin lưu hành bất thường
306,Nước tiểu xanh
307,Sụn tai phì đại
308,Buồn nôn và nôn sau phẫu thuật
309,Bệnh não cấp tính
310,Bệnh đường ruột mất protein
311,Đo bilirubin
314,Ống nhĩ thất chung
315,Giảm mức Cortisol tuần hoàn
316,Phalanx xa ngắn của ngón chân thứ 5
317,Nhiễm Toxoplasma
318,Giảm nồng độ Testosterone trong huyết thanh
319,"Bệnh amyloidosis, nội tạng gia đình"
320,Sự tích tụ dưới màng tế bào của ty thể có hình dạng bất thường
322,Loạn sản chỗ nối giữa não giữa
323,Sự cắt bỏ thiếu hụt các chất làm giảm pyrimidine do tia cực tím gây ra ở Dna
324,Hội chứng tự miễn dịch đa tuyến loại I
325,Nhiều chứng hẹp đường tiêu hóa (rối loạn)
327,Ung thư biểu mô vòm miệng
329,Rối loạn tâm thần Cycloid
330,Đo Ornithine
331,Thể vùi của bạch cầu
333,"Bệnh Paget, vú"
334,"Đau dây thần kinh, gốc cây"
335,Nhiễm khuẩn salmonella xâm lấn không thương hàn
336,Các gai tiền giật cơ bị khóa
338,"Bệnh tăng huyết khối, di truyền, do thiếu hụt protein S, nhiễm sắc thể thường trội"
339,Khối u carcinoid không có phân nhóm ICD-O
340,Rất ít quán cà phê-au-lait
341,Tăng huyết áp trung bình
342,phế liệu
343,Giảm tiểu cầu đơn độc
344,"Thiếu máu, tan máu"
345,Vôi hóa sụn đa khớp
346,Hypoplasia của nắp thanh quản
347,Suy hô hấp cấp tính
348,Mất mô mỡ dưới da mông
349,Buồn nôn
350,bệnh acrospiroma ngoại tiết
351,Dị dạng mạch máu võng mạc
352,bệnh bụi túi
353,"Sự phát triển từng phần, u mỡ, dị dạng động tĩnh mạch, hội chứng nevus biểu bì"
354,Phù thai nhi (ở một số bệnh nhân)
355,tăng tế bào gai
356,Polyp ruột
357,Bất thường của nhiều dòng tế bào trong tủy xương
359,bệnh besnoitosis
360,Nhiều u mô thừa đường mật
361,Suy giảm thính giác thần kinh sâu sắc
362,Tụy kém hấp thu
363,"Hở hàm ếch, bị cô lập"
364,Hội chứng Simpson-Golabi-Behmel
365,Sự vắng mặt của quá trình hô hấp oxy hóa diệt khuẩn trong thực bào
366,Bệnh thận lipid
367,"Chứng loạn sản sụn, loại Megarbane-Dagher-Melki"
368,Bệnh cường giáp nguyên phát
369,Leiomyosarcoma của tử cung
370,Hình thái nguyên hồng cầu bất thường
371,Tổn thương võng mạc
372,Bệnh vẩy nến mụn mủ toàn thân
373,Nghiện tâm lý
374,Nhiễm trùng Polyomavirus tế bào Merkel
375,Thiếu máu xanh xao
376,Thiếu hụt butyryl-CoA dehydrogenase
377,Cường aldosterone gia đình loại 1
378,Rối loạn dung nạp glucose trong thai kỳ
379,Co rút gấp bàn chân
380,Viêm niêm mạc miệng
382,Thiếu hụt axit ascorbic
383,Keratoglobus
384,Độc tính tủy xương
385,Bệnh huyết khối mạch máu
386,Tách sớm chất dị nhiễm sắc trung tâm
387,Bệnh gout
388,Hội chứng Shprintzen-Goldberg
389,áp xe
390,Rối loạn chức năng ruột do opioid
392,Viêm xương chũm cấp tính
394,"Ung thư biểu mô, tế bào chuyển tiếp"
395,"Cutis Laxa, nhiễm sắc thể thường lặn, Loại IIA"
396,Ung thư phổi giai đoạn I AJCC v7
397,Thiếu hụt Ceruloplasmin
398,Xói mòn khớp liên sườn
399,Bệnh Mucopolysaccharidosis V
400,Tự cắt lưỡi và môi do cử động không chủ ý
402,Loét chân
403,Synostosis của xương cổ tay
404,"U tuyến ức, loại A"
405,thở nhanh
406,Rối loạn hạch bạch huyết
407,Viêm da giống Rosacea
408,Ung thư không phải tủy
409,Mổ lấy thai chính
410,"BỆNH ĐÁI THÁO ĐƯỜNG, PHỤ THUỘC KHÔNG INSULIN, 2 (rối loạn)"
411,Ung thư phúc mạc
412,ung thư tinh hoàn
413,Thoát vị đĩa đệm
414,Nhiễm metapneumovirus ở người
415,Đau hàm dưới
416,Đau khớp hông
417,"Đục thủy tinh thể, nhiễm sắc thể lặn bẩm sinh 1"
418,Teo mỡ insulin
419,Teo não vùng trán
420,Ưu thế sợi cơ loại 2
421,Phòng thủ xâm lược
422,Núm vú thừa
423,Tâm thất chung
424,Bệnh gangliosidosis GM 2 ở tuổi vị thành niên
425,Những biến động trong ý thức
426,Chứng nôn nghén
427,Hội chứng ăn uống về đêm
428,Giảm cường độ chất trắng trong não của Mri
429,Bệnh tiểu đường phụ thuộc insulin
430,Ung thư hạch không Hodgkin tế bào B độ cao
431,Bệnh mạch máu do tiểu đường
432,Khô da sắc tố
433,Cơn lo âu kịch phát từng đợt
434,Nhiễm trùng HTLV-I
435,"Xơ cứng bì, hạn chế"
436,Bệnh giun sán
437,bệnh bạch tạng
438,Rối loạn phát triển tuyến thượng thận
439,Xơ vữa động mạch lớn (thuyên tắc/huyết khối)
441,tắc nghẽn niệu quản
442,bệnh gammopathy
443,Tiềm năng gợi lên hình ảnh flash mở rộng
445,Viêm cân mạc dạng nốt
446,tính cách thần kinh
447,Giảm sản tiểu não bẩm sinh loại 8
448,Sự bất đối xứng của tai
449,Hội chứng trung thất
450,Bệnh cơ tim phì đại
451,"Bệnh giang mai, tiềm ẩn"
452,Giãn bạch huyết
453,Mũi yên
454,Thâm nhiễm dạng lưới hoặc dạng nốt mịn lan tỏa
455,túi thừa
457,Tự gây nôn
458,Hội chứng định kỳ liên quan đến thụ thể yếu tố hoại tử khối u [TRAPS]
459,Microphthalmos đơn phương
460,Tăng Serotonin huyết thanh
461,Hội chứng buồng trứng đa nang
462,Viêm gan lupus
463,Tiêu xương xa
464,Aspergilloma
465,Phì đại tim
466,U màng não nhú ở người lớn
467,"Lão hóa răng, chọn lọc, 5"
468,Yếu cơ
469,ischia rộng
470,Khiếm khuyết sụn khớp
471,"Tăng huyết áp phổi, nguyên phát, 1"
473,Viêm gan tế bào khổng lồ
474,"Tăng tiểu cầu, nhiễm sắc thể thường trội"
475,U tế bào quanh màng não
476,Sarcoma cơ vân với sự biệt hóa hạch
477,Bệnh porphyria cutanea muộn lẻ tẻ
478,"Mất ngôn ngữ, ngữ nghĩa"
480,Hiến pháp trì hoãn tăng trưởng và dậy thì
481,Rối loạn hệ tuần hoàn
482,Lỗ võng mạc
483,U lympho tế bào lớn lan tỏa liên quan đến AIDS
484,"Bệnh não, hoại tử bán cấp, trẻ vị thành niên"
485,loạn thị
486,Rối loạn thiếu tập trung không phân biệt
488,U tuyến vỏ thượng thận
489,Tăng mật độ xương dài
490,"Bệnh đa dây thần kinh, giảm thính lực, mất điều hòa, viêm võng mạc sắc tố và đục thủy tinh thể"
491,Giảm sản ống gan
492,Ung thư màng não
493,Ù tai có nguồn gốc mạch máu
494,Kinh nguyệt nặng hơn
495,Gãy xương đùi không điển hình
496,Viêm xương khớp vô căn
497,Ung thư nội mạc tử cung giai đoạn I
498,Bệnh bạch cầu đơn nguyên bào cấp tính ở trẻ em
499,Nhồi máu tiểu não
500,đánh đòn
501,Suy hô hấp sơ sinh
502,Bệnh rễ thần kinh thắt lưng cùng
503,Đau bụng dưới
504,Khiếm khuyết sản xuất các cytokine phụ thuộc NFKB1
505,Điện thế kích thích thính giác thân não kéo dài
506,Bệnh chàm quanh miệng
507,Nhiễm khuẩn huyết Stenotrophomonas maltophilia
508,Thiếu oxy não
510,Bệnh quáng gà khởi phát ở người lớn
511,Rối loạn huyết khối
512,Ung thư hạch tế bào lớn Anaplastic ở da nguyên phát
513,Melena
514,Ban đỏ đa dạng nặng
515,Chứng khó nuốt hầu họng
516,Bệnh lao ở trẻ em
517,Biến dạng sọ mặt
518,Axit dicarboxylic niệu
519,Bộ phận sinh dục ngoài bất thường
520,"Khối u nhầy nhú trong ống tụy, loại dạ dày"
521,Phức hợp tim sớm
522,Tự động cắt cụt bàn chân
523,Thiếu hụt phức hợp ty thể II
524,Từ chối ghép đồng loại
527,Khoảng QT kéo dài
528,Viêm mạch liên quan đến kháng thể kháng bạch cầu trung tính
529,Tân sinh nội biểu mô âm đạo
530,BỆNH CƠ NHỚ NHỎ VỚI Liệt MẮT NGOÀI (rối loạn)
531,Rút thuốc phiện
532,Sự tăng sinh tế bào T khiếm khuyết
533,Viêm dạ dày ruột
535,Tiểu máu lành tính có tính chất gia đình
537,Viêm dạ dày dị sản
538,Hội chứng Werner không điển hình
539,Khiếm khuyết vách ngăn tim
540,hội chứng Sotos
541,"Viêm màng não, não mô cầu, nhóm huyết thanh B"
542,Bệnh bạch cầu nguyên bào lympho tế bào T tiền thân-ung thư hạch
543,Khối u ác tính liên quan đến môi trường
544,Tăng nồng độ galactitol trong huyết tương
545,Ung thư biểu mô thực quản di căn
546,Giảm tiểu cầu vĩ mô
547,"Bệnh loạn dưỡng bạch cầu, mất myelin, khởi phát ở người trưởng thành, nhiễm sắc thể thường trội"
548,Khối lượng cơ giảm
549,Kháng thể tiểu cầu dương tính
550,Tăng huyết áp động mạch
551,Rủi ro khi sử dụng Penicillin
552,Bệnh Paget
553,Chán ăn thần kinh
554,Bệnh bẩm sinh
555,Giả u
556,AML M5b
557,Vấn đề về rượu
558,Ung thư biểu mô tuyến nội mạc tử cung loại II
559,Ly thượng bì bọng nước kèm teo môn vị
561,Viêm não toàn thể
562,Tăng Nitơ Urê Máu
563,"Răng Thành Công, Sự Agenesis Của"
566,Khát vọng vật chất không chủ ý
567,Hội chứng khớp xương bả vai
568,Giảm bạch cầu khởi phát muộn
571,Giảm thể tích dịch não tủy
572,Bệnh tiểu đường ở tuổi trẻ
573,Xác định cái chết
574,Viêm lưỡi
575,mày đay tự miễn
576,Giảm kích thước của các đầu dây thần kinh
577,Axit ethylmalonic niệu
578,Giãn mao mạch thực vật
579,Angiomyolipoma gan
580,Nồng độ hormone kích thích nang trứng tuần hoàn tăng cao
581,Tăng đường huyết
582,Viêm tĩnh mạch huyết khối tái phát
583,"IRIDOGONIODYSGENESIS, LOẠI 1 (rối loạn)"
584,Sarcom xương màng xương
586,viêm thận tăng sinh không xác định
587,Ung thư phổi tế bào nhỏ tái phát
590,Hội chứng trẻ sơ sinh mềm
591,Khối u ác tính hai bên
592,Tăng tái hấp thu canxi ở ống thận không phụ thuộc parathormon
594,"Bệnh não tiến triển với phù nề, loạn nhịp tim và hội chứng giống teo thị giác"
595,Bệnh thần kinh vận động ngoại biên
596,Vách ngăn dọc âm đạo
597,Vỡ màng bào thai sớm
598,"Bệnh ly thượng bì bóng nước loạn dưỡng chiếm ưu thế, loại sẩn nhỏ (rối loạn)"
599,Hội chứng Vena Cava cấp trên
600,Huyết khối tĩnh mạch nách
601,Nhiễm trùng Klebsiella tái phát
602,Tràn khí màng phổi
603,Suy giảm chức năng vỏ thượng thận
604,Chứng thiểu sản răng
605,Sự ngộp thở
606,Khối u nguyên bào cơ viêm viêm dạ dày
607,"Viêm màng não, não mô cầu, nhóm huyết thanh W-135"
608,Chứng tăng sừng lòng bàn tay và bệnh lưỡng tính thực sự
609,Viêm da mủ
610,Ung thư vòm họng tái phát
611,Chứng hạ aldosteron tăng renin máu
612,Bất thường trong cân bằng nội môi nước tiểu
613,Khiếm khuyết kênh nhĩ thất chuyển tiếp
614,Bệnh lưu trữ
615,Ung thư gan
616,Bất thường của đầu gối
617,Tình trạng thiếu oxy thai nhi trong khi sinh
618,Ngứa
619,Run tư thế
620,Rối loạn sinh dục
621,Bệnh bạch cầu chịu nhiệt
622,Synostosis phóng xạ
623,Ung thư biểu mô ống và tiểu thùy xâm lấn
624,Đa niệu về đêm
625,Ung thư hạch đại trực tràng
627,Tăng bilirubin máu
628,Vôi hóa trung gian của động mạch cỡ trung bình
629,Tắc ruột sơ sinh
630,Viêm môi góc
632,chứng liệt nửa người
633,Rối loạn gân
634,Thiếu máu mạc treo không tắc nghẽn
635,Nhiễm trùng Aeromonas caviae
636,"Viêm võng mạc sắc tố, vị thành niên, liên quan đến SPATA7"
637,"Nevus, màu xanh"
638,Nhịp tim nhanh thất
639,dấu hiệu kim tự tháp
641,Các dị tật ở não
642,lệch hàm dưới
643,Bệnh Hirschsprung u nguyên bào thần kinh hạch
644,Đo tyrosine
645,Các giai đoạn giống hội chứng Reye
646,Nhiễm trùng đường sinh sản
648,Chondrosarcoma xương
649,Bệnh amip
651,Đầu gối cứng
652,Talipes Calcaneovalgus
653,"Rối loạn phát triển trẻ em, cụ thể"
654,Hội chứng Branchio-Oto-Thận
655,Ung thư biểu mô khoang phúc mạc
656,"Điếc, loạn dưỡng móng bẩm sinh, dạng lặn"
657,Viêm đại tràng do Clostridium difficile
658,Phát ban vòi voi
659,rối loạn cơ bẩm sinh
660,Thùy phổi bất thường
661,Tách sợi cơ
663,Tăng huyết áp tâm trương
664,Mất thính giác thần kinh đột ngột
665,Nhiễm trùng Trypanosoma evansi
666,Xơ cứng biểu mô Fibrosarcoma
667,Dị tật thai nhi trước khi sinh
669,Loạn dưỡng mỡ toàn thân mang tính chất gia đình
670,Bệnh động kinh giật cơ thiếu niên của Janz
671,Dị thường Klippel-Feil
672,Chậm phát triển nhẹ trong tử cung
673,Rối loạn nhịp thở khi ngủ
674,Tăng tiết axit hồi phục
675,Mất điều hòa tủy sống tiểu não loại 4
676,Khối u lỏng
677,Biến dạng ngón tay giống cổ thiên nga
678,"Ảo giác, Tiểu học"
679,Ung thư tế bào trục chính của Adenohypophysis
680,Fucosidosis loại II
682,Ung thư phổi không phải tế bào nhỏ giai đoạn tiến triển
683,Thay đổi tâm trạng
684,Chuyển động khuỷu tay hạn chế
685,Rụng tóc có sẹo ly tâm trung tâm
686,Viêm nang lông mụn mủ tăng bạch cầu ái toan
687,Tăng Kali trong Nước Tiểu
688,Bệnh quái thai cùng cụt loại IV Altman
689,Thiếu kiên nhẫn
690,"Liệt cứng hai chân, di truyền"
691,Đầy bụng
692,Giảm sản tuyến tụy
693,"Bệnh đa dây thần kinh dạng bột có tính chất gia đình, loại Do Thái"
694,Khối u lành tính của hệ tiêu hóa
695,U nang thận đơn giản
696,Chứng loạn dưỡng cơ Emery-Dreifuss 3
697,Hành vi ám ảnh cưỡng chế
698,Giảm tiểu cầu do cô lập
699,Chứng loạn sắc tố
700,loãng xương
701,Viêm tuyến tiền liệt mãn tính
702,Lùn (rối loạn)
703,"46, XX Rối loạn phát triển giới tính ở tinh hoàn"
704,Hội chứng thiếu hụt bạch cầu-kết dính
705,Ung thư biểu mô tế bào vảy Acantholytic
706,Acrospiroma
707,Dần dần không thể đi lại
708,Da Laxa
710,tăng sản đường mật
711,Nhiễm trùng Actinobacillus
712,Các nhánh ischiopubic giảm sản
714,Tâm thần phân liệt kháng trị
716,Căng thẳng không kiểm soát ở phụ nữ
717,Bệnh bạch cầu cấp tính kiểu hình hỗn hợp
718,Loạn thị theo quy luật
719,Tăng sản vùng tiền hàm
722,giảm số lượng thần kinh tuyệt đối (ANC)
723,Rung giật nhãn cầu
724,tăng trưởng ruột kết
725,Màu răng bất thường
726,Cơn co giật vị giác
727,Từ chối ghép giác mạc
729,Phì đại amidan
730,Khối u tế bào tròn nhỏ Desmoplastic thời thơ ấu
731,Viêm võng mạc sắc tố đảo ngược
732,"Tăng đường huyết, không nhiễm ceton, loại I"
733,hội chứng zika bẩm sinh
734,Vôi hóa não
735,khăn choàng bìu
736,Sự bất thường của sự hình thành thần kinh
737,Tổn thương đối xứng của hạch nền
739,"Viêm tủy, ngang"
740,Bệnh do virus Papilloma
741,bệnh thalassemia alpha
742,Thận loạn sản đa nang
743,Porphyria đa dạng đồng hợp tử
744,Tự cắn mình
746,Pes Valgus
747,Tâm thần điều trị-vật liệu chịu lửa
748,Bản cuối thân đốt sống siêu lồi
749,Chậm phát triển và chậm nói do thiếu SOX5
750,U tuyến nang
751,U tuyến tế bào gan viêm
752,Hội chứng suy giảm DNA ty thể 12
753,U xơ thần kinh cột sống
756,Viêm màng não sốt Tây Nile
757,Bệnh protein phế nang phổi thứ phát
759,Khối u còn sót lại
760,Nhiễm virus đường hô hấp dưới
761,Động kinh kháng thuốc
762,Sỏi mật
763,Lông mày ngang
764,Viêm giác mạc
765,Ung thư biểu mô tuyến trực tràng
766,Liệt cứng tứ chi
768,Hoại tử da do Warfarin
769,Bệnh cường giáp thứ phát do amiodarone
770,Ung thư vú Luminal A
771,phát ban
772,Vết nứt lòng bàn tay dài
773,Bệnh sán máng đường ruột
774,Ung thư biểu mô tế bào vảy thực quản giai đoạn IV
775,Viêm động mạch chủ
776,"Ứ mật, tiến triển trong gan có tính chất gia đình 3"
777,Khiếm khuyết trường thị giác tăng nhãn áp
778,"Bệnh về mắt, Di truyền"
779,Chiều cao cơ thể bất thường
780,axit niệu
782,phì đại hai tâm thất
783,"Teo thị giác, hội chứng thiểu năng trí tuệ"
784,Rối loạn tăng sinh
785,Tuyến bã nhờn không có hypoplastic
786,Khối u lành tính của dạ dày
787,"Thiếu hụt Adenylate Kinase, thiếu máu tán huyết do"
788,"Corpus Callosum, Agenesis of, với các dị tật trên khuôn mặt và trình tự Robin"
789,Viêm não viền
790,Triệu chứng cúm
791,Viêm màng bồ đào
792,Giảm axit CSF 5-hydroxyindolacetic
793,Vật liệu chịu lửa ung thư hạch không Hodgkin
794,"Carcinoid, tế bào cốc"
795,Rung giật nhãn cầu quay
796,U lympho tế bào lớn Anaplastic loại T- và tế bào null chịu lửa
797,Đau viêm
798,Viêm tai giữa tiết dịch
799,Aplasia Cutis Congenita ở vùng đỉnh sau
800,"Ung thư, tế bào đáy"
802,Ngứa
803,Vôi hóa khí quản
804,"Cơ nhai, phì đại cơ"
805,Viêm mũi có mủ
806,Phẫu thuật phình động mạch chủ bụng
808,"Suy buồng trứng, sinh non"
809,Hội chứng Alstrom
810,Suy hô hấp chu sinh
811,Hẹp động mạch phổi
812,Nếp nhăn và vệt tăng sắc tố
